"","ID","sentence"
"1","Code.md_1","* You can do [LSA](.."
"2","Code.md_2","/LSA.md) or [LDA](.."
"3","Code.md_3","/LDA.md) in R using the `NLP-guidance."
"4","Code.md_4","Rproj` R project file * You can try some [pre-trained Neural Network generated vectors](.."
"5","Code.md_5","/NNmodels.md) in Python via the `Pretrained_vectors.ipynb` file To let you try out some of these ideas in practice, because I think that's a good way to learn."
"6","Code.md_6","The data we use for practicing these techniques is the text in this guide, because I like pretentious self-reference in writing."
"7","Code.md_7","Also because hopefully you're familiar enough with the text to get a feel for the techniques in practice."
"8","Code.md_8","There is a `data_preparation."
"9","Code.md_9","R` script, which gets the text from the guide and stores it in a usable format for the code."
"10","Code.md_10","The `data_preparation."
"11","Code.md_11","R` script is `source`d at the beginning of the `LSA.R` script, which uses the `clean_word_counts` object it creates."
"12","Code.md_12","The `data_preparation."
"13","Code.md_13","R` script is `source`d at the beginning of the `LDA.R` script, which uses the `full_text` and `full_word_counts` objects it creates."
"14","Code.md_14","You need the `sentences.csv` file which `data_preparation."
"15","Code.md_15","R` generates."
"16","Code.md_16","This is included in this repo, but you may want to regenerate it."
"17","Code.md_17","You also need to go to download some vectors of your choice (these files are large so it might take a while) and store them somewhere you can access."
"18","Code.md_18","The code works by you writing in the appropriate filepath to access the vectors."
"19","Code.md_19","Hopefully each piece of code is annotated so that you can run it."
"20","Code.md_20","If not, or if something is insufficiently clear, please let me know."
"21","Code.md_21","___ [Back to contents](.."
"22","Code.md_22","/README.md)"
"23","FeatureSelection.md_1","* Decisions about how to do these things are usually made by trial and error."
"24","FeatureSelection.md_2","This is usually easily accomplished - in R, for example, there are various different ways of doing it but it's always just one line of code, or a parameter set in a function."
"25","FeatureSelection.md_3","Despite the practical ease of achieving this, it still needs thought."
"26","FeatureSelection.md_4","You can choose to replace the punctuation marks with a space, or remove them altogether."
"27","FeatureSelection.md_5","On the other hand, removing punctuation altogether can lead to problems in cases where someone has hyphenated a word."
"28","FeatureSelection.md_6","For example, we might want *cross-examination* to become *crossexamination*, but not want *Northern Ireland-related* to become the nonsensical *Northern Irelandrelated*."
"29","FeatureSelection.md_7","In my experience you are better off replacing punctuation marks with spaces and then dealing with specific hyphenated words as special cases (but I could be wrong)."
"30","FeatureSelection.md_8","There are different methods to follow when deciding which words to remove from analysis."
"31","FeatureSelection.md_9","They are not mutually exclusive, and in fact there will often be some overlap between them."
"32","FeatureSelection.md_10","Care is needed when thinking about which of these methods to use, and which order to apply them in."
"33","FeatureSelection.md_11","Where we have used multiple methods we have often followed a 'belt and braces' approach and not worried about the redundancy in parts of our procedure."
"34","FeatureSelection.md_12","It would be better to be clear from the start about what we want to remove, because redundant processes at best waste time, and at worst create unforeseen consequences."
